state,year,party,seats
Bihar,1990,BJP,12
Bihar,1995,BJP,13
Bihar,2000,BJP,21
Bihar,2005,BJP,23
Bihar,2010,BJP,37
Bihar,2015,BJP,21
Bihar,2000,JD(U),7
Bihar,2005,JD(U),36
Bihar,2010,JD(U),9
Bihar,2015,JD(U),34
Bihar,1995,INC,1
Bihar,2000,INC,2
Bihar,2005,INC,23
Bihar,2010,INC,7
Bihar,2015,INC,11
